,0,1,2,3,4,5,6,7,8,9,10
0,732,589,507,430,411,545,623,492,429,386,547
1,577,396,321,290,436,355,278,193,338,301,301
2,575,211,297,164,283,254,183,161,146,210,340
3,740,325,571,637,507,518,468,316,484,506,457
4,557,301,321,242,233,288,348,425,438,233,241
5,657,332,447,482,429,484,422,407,356,264,487
6,584,242,243,255,246,255,235,242,267,266,165
