,0,1,2,3,4,5,6,7,8,9,10
0,577,401,322,359,322,380,401,347,380,398,398
1,575,272,257,256,272,296,305,264,297,296,264
2,740,387,415,415,316,409,409,427,427,424,316
3,557,347,335,347,348,247,343,283,335,343,335
4,657,370,466,436,428,352,376,446,446,437,466
5,584,369,368,349,350,368,350,349,365,329,365
